X,Y,C
115,79,0
76,35,0
121,42,0
455,39,1
174,96,0
86,60,0
876,40,2
505,25,1
477,27,1
282,86,4
608,4,3
688,62,3
75,48,0
503,17,1
336,56,4
419,36,1
558,88,3
494,75,1
858,63,2
99,44,0
366,24,1
265,72,4
197,4,4
803,94,2
882,3,2
687,7,3
345,11,4
506,35,1
622,20,3
509,80,1
41,97,0
637,39,3
85,7,0
354,94,4
370,81,1
68,67,0
60,69,0
175,50,0
423,62,1
286,13,4
236,82,4
230,16,4
437,15,1
805,45,2
645,65,3
499,67,1
239,98,4
90,71,0
195,54,4
128,58,0
450,93,1
360,42,1
130,67,0
606,7,3
413,6,1
745,2,2
862,89,2
584,63,3
673,68,3
189,44,4
328,72,4
147,22,0
51,64,0
481,76,1
210,20,4
151,23,0
707,22,3
345,22,4
526,68,1
699,98,3
899,26,2
288,58,4
123,8,0
607,41,3
12,77,0
120,34,0
525,39,1
36,31,0
534,15,1
214,40,4
318,63,4
696,72,3
180,33,4
434,56,1
793,22,2
334,95,4
88,60,0
773,1,2
268,60,4
275,14,4
801,43,2
851,8,2
116,9,0
239,79,4
321,23,4
773,15,2
880,7,2
146,38,0
737,67,2
598,19,3
465,95,1
706,93,3
521,16,1
417,38,1
315,3,4
459,49,1
841,13,2
594,11,3
218,45,4
798,42,2
610,2,3
769,38,2
782,78,2
486,34,1
459,92,1
96,88,0
514,53,1
102,42,0
82,54,0
801,61,2
463,19,1
359,69,1
485,94,1
705,95,3
188,63,4
678,10,3
410,26,1
412,56,1
133,40,0
504,20,1
787,90,2
202,53,4
381,75,1
190,67,4
214,68,4
647,24,3
727,1,2
246,67,4
486,32,1
183,51,4
115,81,0
510,9,1
822,81,2
167,15,0
847,45,2
340,24,4
36,76,0
274,16,4
129,89,0
76,21,0
254,92,4
168,75,0
41,58,0
97,25,0
147,79,0
142,25,0
584,11,3
817,2,2
858,47,2
574,29,3
339,10,4
423,41,1
847,33,2
329,41,4
658,41,3
380,76,1
342,36,4
5,73,0
745,85,2
52,86,0
14,69,0
259,23,4
643,41,3
860,40,2
129,98,0
88,19,0
459,41,1
126,7,0
491,17,1
361,62,1
101,57,0
393,82,1
419,47,1
868,52,2
293,5,4
466,100,1
14,17,0
638,14,3
850,56,2
448,94,1
224,40,4
575,26,3
632,42,3
476,2,1
898,34,2
291,33,4
533,49,1
85,2,0
834,50,2
209,89,4
527,33,1
501,100,1
115,28,0
484,17,1
587,81,3
93,26,0
418,7,1
281,2,4
833,2,2
898,5,2
473,54,1
397,80,1
480,84,1
835,77,2
701,77,3
801,66,2
58,60,0
762,54,2
194,11,4
494,53,1
305,81,4
43,63,0
771,72,2
120,26,0
415,53,1
272,54,4
321,11,4
230,74,4
278,76,4
720,98,2
389,100,1
634,11,3
887,94,2
385,70,1
191,40,4
857,22,2
536,19,3
887,83,2
80,36,0
173,10,0
312,30,4
286,61,4
318,99,4
358,35,1
620,28,3
175,51,0
95,83,0
174,9,0
883,40,2
896,6,2
668,9,3
675,25,3
91,9,0
584,7,3
609,87,3
741,76,2
608,38,3
893,72,2
647,38,3
684,20,3
701,85,3
646,51,3
29,44,0
357,34,1
282,79,4
225,42,4
675,32,3
432,92,1
69,100,0
650,75,3
629,18,3
555,44,3
316,23,4
678,32,3
406,72,1
296,64,4
438,63,1
270,70,4
148,30,0
139,89,0
887,16,2
312,75,4
150,92,0
648,55,3
481,30,1
349,57,4
426,87,1
344,35,4
792,98,2
878,78,2
280,1,4
842,90,2
568,53,3
353,91,4
60,50,0
680,73,3
426,50,1
878,33,2
726,18,2
766,18,2
478,58,1
343,15,4
395,84,1
455,9,1
768,97,2
105,40,0
779,58,2
430,8,1
828,36,2
723,55,2
8,10,0
838,95,2
870,85,2
556,24,3
81,56,0
875,28,2
343,47,4
750,55,2
188,55,4
751,57,2
899,6,2
657,8,3
666,96,3
779,43,2
7,67,0
375,19,1
229,2,4
120,44,0
145,3,0
50,54,0
241,60,4
580,82,3
153,51,0
40,53,0
333,66,4
856,94,2
719,5,2
288,40,4
468,92,1
580,84,3
122,44,0
30,16,0
145,48,0
667,39,3
745,15,2
821,40,2
6,86,0
309,23,4
6,66,0
193,34,4
269,86,4
10,96,0
377,64,1
708,88,3
120,99,0
889,88,2
802,99,2
558,25,3
18,7,0
529,55,1
381,45,1
793,13,2
759,17,2
509,83,1
186,30,4
883,50,2
60,98,0
811,36,2
326,66,4
752,79,2
842,77,2
154,94,0
627,36,3
479,53,1
711,15,3
43,20,0
783,30,2
107,34,0
276,81,4
695,9,3
304,75,4
53,74,0
782,6,2
67,73,0
153,77,0
34,47,0
293,6,4
650,14,3
507,99,1
507,55,1
119,84,0
217,37,4
34,59,0
26,37,0
891,43,2
705,42,3
607,57,3
815,85,2
326,50,4
117,29,0
234,65,4
173,30,0
352,69,4
137,33,0
36,80,0
363,18,1
426,30,1
50,22,0
6,96,0
487,40,1
600,31,3
698,55,3
139,19,0
518,41,1
121,10,0
856,30,2
543,16,3
215,8,4
9,93,0
440,86,1
848,18,2
558,87,3
395,84,1
835,14,2
487,55,1
460,51,1
425,25,1
86,56,0
788,75,2
834,83,2
657,86,3
376,3,1
760,49,2
593,33,3
227,41,4
544,79,3
518,9,1
13,46,0
128,29,0
405,86,1
560,49,3
395,75,1
520,68,1
433,87,1
56,21,0
678,8,3
555,84,3
280,47,4
495,61,1
138,62,0
551,35,3
706,2,3
302,69,4
433,50,1
507,23,1
887,58,2
130,6,0
691,93,3
343,33,4
602,50,3
582,57,3
30,53,0
442,92,1
509,49,1
759,76,2
491,41,1
62,5,0
85,78,0
484,28,1
145,43,0
613,42,3
194,75,4
313,8,4
22,85,0
232,67,4
629,96,3
571,63,3
399,48,1
332,31,4
386,10,1
470,18,1
885,7,2
426,18,1
33,96,0
452,70,1
569,43,3
163,58,0
319,10,4
715,52,3
636,53,3
872,59,2
676,2,3
173,22,0
846,51,2
788,63,2
86,60,0
741,73,2
21,67,0
310,3,4
49,1,0
83,11,0
239,77,4
711,32,3
500,31,1
894,2,2
406,59,1
874,27,2
552,28,3
44,63,0
183,37,4
384,73,1
493,64,1
54,61,0
99,63,0
50,3,0
716,72,3
534,39,1
269,16,4
301,85,4
874,8,2
373,42,1
285,26,4
240,14,4
695,68,3
805,70,2
859,21,2
439,87,1
868,59,2
856,74,2
314,78,4
703,10,3
274,71,4
81,31,0
673,78,3
831,12,2
884,10,2
750,75,2
670,13,3
646,16,3
2,31,0
646,11,3
552,14,3
711,6,3
411,71,1
23,54,0
393,96,1
145,8,0
805,38,2
207,83,4
424,13,1
246,33,4
345,57,4
58,85,0
320,1,4
315,97,4
207,6,4
471,58,1
324,10,4
334,95,4
631,65,3
535,53,1
28,71,0
611,1,3
163,64,0
87,50,0
440,7,1
277,4,4
560,11,3
744,45,2
150,31,0
743,73,2
879,57,2
212,11,4
692,47,3
868,23,2
564,61,3
407,77,1
438,38,1
32,31,0
829,11,2
605,94,3
438,57,1
522,48,1
242,89,4
552,50,3
301,84,4
197,65,4
860,81,2
120,79,0
548,10,3
873,84,2
249,33,4
183,93,4
581,6,3
497,32,1
655,43,3
334,92,4
14,42,0
298,68,4
514,95,1
556,41,3
659,66,3
119,57,0
511,73,1
653,4,3
360,17,1
643,5,3
252,13,4
711,72,3
319,25,4
102,32,0
151,34,0
144,6,0
45,26,0
813,99,2
815,16,2
449,59,1
37,63,0
809,23,2
89,17,0
158,48,0
459,1,1
373,37,1
316,40,4
655,35,3
833,18,2
691,67,3
695,14,3
246,67,4
96,30,0
279,91,4
525,84,1
607,27,3
836,22,2
150,99,0
352,89,4
606,21,3
565,48,3
165,94,0
3,5,0
130,39,0
786,2,2
19,11,0
475,47,1
252,25,4
159,21,0
635,46,3
819,62,2
134,78,0
142,9,0
588,63,3
500,24,1
229,7,4
184,58,4
620,88,3
554,6,3
815,58,2
307,5,4
596,50,3
10,70,0
350,60,4
195,69,4
427,32,1
857,10,2
493,18,1
414,29,1
487,67,1
472,48,1
565,55,3
573,93,3
433,95,1
677,24,3
408,71,1
614,8,3
553,48,3
823,93,2
78,30,0
211,9,4
592,9,3
162,93,0
195,45,4
604,100,3
830,13,2
786,50,2
167,84,0
601,70,3
513,62,1
877,48,2
269,30,4
683,75,3
737,15,2
36,14,0
51,43,0
537,60,3
98,76,0
27,52,0
497,82,1
684,99,3
833,55,2
521,82,1
681,43,3
38,55,0
865,87,2
588,74,3
133,31,0
855,79,2
91,62,0
850,41,2
551,4,3
688,65,3
830,28,2
291,96,4
42,71,0
374,31,1
747,16,2
20,96,0
593,28,3
831,88,2
175,2,0
534,19,1
871,78,2
493,68,1
684,12,3
616,28,3
217,82,4
746,34,2
823,98,2
816,7,2
338,43,4
441,9,1
838,2,2
291,87,4
256,100,4
390,98,1
246,42,4
887,39,2
621,26,3
584,37,3
712,64,3
892,66,2
359,1,1
689,78,3
704,12,3
881,38,2
633,15,3
816,63,2
250,24,4
202,27,4
446,25,1
390,70,1
597,56,3
793,71,2
67,32,0
505,56,1
671,33,3
856,88,2
39,93,0
187,89,4
341,18,4
586,37,3
23,1,0
134,61,0
416,45,1
274,94,4
270,95,4
291,53,4
416,37,1
536,3,3
520,44,1
741,16,2
477,12,1
193,36,4
121,16,0
807,62,2
780,43,2
831,8,2
725,37,2
578,43,3
584,87,3
397,51,1
75,64,0
893,57,2
348,5,4
89,93,0
847,75,2
430,52,1
400,90,1
625,15,3
880,94,2
597,65,3
592,50,3
460,65,1
677,53,3
157,35,0
711,70,3
363,35,1
116,54,0
805,63,2
267,41,4
155,88,0
705,99,3
307,8,4
400,90,1
900,35,2
741,19,2
560,62,3
557,30,3
461,60,1
760,46,2
461,17,1
81,52,0
342,25,4
578,51,3
341,86,4
530,68,1
550,22,3
119,99,0
339,10,4
708,18,3
589,5,3
548,50,3
349,22,4
120,80,0
197,37,4
423,100,1
487,92,1
263,32,4
298,56,4
255,95,4
109,23,0
514,3,1
496,69,1
786,89,2
713,71,3
403,73,1
820,98,2
379,50,1
496,41,1
767,52,2
532,42,1
87,77,0
223,89,4
766,58,2
597,22,3
323,76,4
396,69,1
22,9,0
488,82,1
708,63,3
725,13,2
141,57,0
753,4,2
497,74,1
266,64,4
141,69,0
882,61,2
60,19,0
188,27,4
206,86,4
471,18,1
201,49,4
886,1,2
742,58,2
315,66,4
490,91,1
172,32,0
848,67,2
889,85,2
155,92,0
404,77,1
71,52,0
59,52,0
82,4,0
221,96,4
188,16,4
322,44,4
475,61,1
585,77,3
189,84,4
693,35,3
57,18,0
2,27,0
182,93,4
211,90,4
747,88,2
608,24,3
868,83,2
218,2,4
684,37,3
294,78,4
412,86,1
226,52,4
555,62,3
73,32,0
275,70,4
268,53,4
603,44,3
138,21,0
803,60,2
726,89,2
871,78,2
28,51,0
890,15,2
507,50,1
685,77,3
152,99,0
457,100,1
316,5,4
536,69,3
275,44,4
102,95,0
116,68,0
406,13,1
470,57,1
741,24,2
667,12,3
891,55,2
15,40,0
883,88,2
494,79,1
155,93,0
286,3,4
199,92,4
263,84,4
285,99,4
135,3,0
508,56,1
538,58,3
195,75,4
874,90,2
507,51,1
266,5,4
137,54,0
332,7,4
260,88,4
204,74,4
712,20,3
686,71,3
72,76,0
299,81,4
782,22,2
563,11,3
652,66,3
502,40,1
447,79,1
480,83,1
143,61,0
865,86,2
631,5,3
485,90,1
374,7,1
793,22,2
198,4,4
774,66,2
572,6,3
746,92,2
363,27,1
153,28,0
817,55,2
205,45,4
743,53,2
871,5,2
361,46,1
482,47,1
161,55,0
804,12,2
342,22,4
153,60,0
17,29,0
444,79,1
592,42,3
666,67,3
427,4,1
276,81,4
731,67,2
747,64,2
450,71,1
294,12,4
784,18,2
827,60,2
755,42,2
100,37,0
522,21,1
766,15,2
686,88,3
343,7,4
408,20,1
11,41,0
511,56,1
163,5,0
383,75,1
895,15,2
850,46,2
627,62,3
216,99,4
538,27,3
833,67,2
684,9,3
386,4,1
131,94,0
73,34,0
654,21,3
886,52,2
34,92,0
728,1,2
438,58,1
607,91,3
659,53,3
11,70,0
370,58,1
896,59,2
50,63,0
4,80,0
799,96,2
410,42,1
795,31,2
774,15,2
161,46,0
118,27,0
807,85,2
140,22,0
480,65,1
512,52,1
472,24,1
742,47,2
218,30,4
490,22,1
863,71,2
885,77,2
81,25,0
87,54,0
493,72,1
760,90,2
656,22,3
132,76,0
369,33,1
884,29,2
571,25,3
544,21,3
164,6,0
634,2,3
684,7,3
87,83,0
627,57,3
854,5,2
41,95,0
634,30,3
816,45,2
147,22,0
443,90,1
529,71,1
334,41,4
773,31,2
2,19,0
59,43,0
429,4,1
638,48,3
182,92,4
115,25,0
751,93,2
827,25,2
622,7,3
404,84,1
11,4,0
5,55,0
605,93,3
164,36,0
615,3,3
374,13,1
607,11,3
672,16,3
471,4,1
535,84,1
582,74,3
186,75,4
307,74,4
372,53,1
346,50,4
432,51,1
739,28,2
783,7,2
708,28,3
472,70,1
118,63,0
679,5,3
378,1,1
526,57,1
175,71,0
253,81,4
629,95,3
650,32,3
527,7,1
835,84,2
689,14,3
149,72,0
265,68,4
329,66,4
734,32,2
591,94,3
358,28,1
105,39,0
415,57,1
639,82,3
764,20,2
37,2,0
733,16,2
44,92,0
805,89,2
448,57,1
97,64,0
237,75,4
659,71,3
494,30,1
317,16,4
812,12,2
452,81,1
738,32,2
609,96,3
673,8,3
164,12,0
325,34,4
289,42,4
400,35,1
855,70,2
727,24,2
470,30,1
188,57,4
262,94,4
259,25,4
537,45,3
575,31,3
733,86,2
50,14,0
264,69,4
218,25,4
267,87,4
745,56,2
790,82,2
760,93,2
553,98,3
33,96,0
828,26,2
8,71,0
141,33,0
503,69,1
671,54,3
743,74,2
731,89,2
207,95,4
850,85,2
490,13,1
879,5,2
525,18,1
181,20,4
740,78,2
544,38,3
891,93,2
507,49,1
297,48,4
367,87,1
340,70,4
808,78,2
564,88,3
94,64,0
701,73,3
486,12,1
471,73,1
831,53,2
494,51,1
378,90,1
147,87,0
281,76,4
342,32,4
376,48,1
563,99,3
479,69,1
832,38,2
46,23,0
809,86,2
285,68,4
399,52,1
223,56,4
260,77,4
783,35,2
604,36,3
273,30,4
589,77,3
445,83,1
567,99,3
301,14,4
866,98,2
103,47,0
710,87,3
439,71,1
14,74,0
105,78,0
716,90,3
357,29,1
699,72,3
789,93,2
775,18,2
145,32,0
301,83,4
170,66,0
230,36,4
599,1,3
215,66,4
53,5,0
639,100,3
190,90,4
775,40,2
419,31,1
231,75,4
539,52,3
550,71,3
279,13,4
432,46,1
191,12,4
565,34,3
364,25,1
585,83,3
168,100,0
839,60,2
269,34,4
355,43,4
651,47,3
422,82,1
555,81,3
616,19,3
733,4,2
739,33,2
631,1,3
677,81,3
114,6,0
827,100,2
339,15,4
288,21,4
848,25,2
446,34,1
700,26,3
488,21,1
376,50,1
108,57,0
126,69,0
149,77,0
677,43,3
899,38,2
163,6,0
104,43,0
431,74,1
107,33,0
142,6,0
604,37,3
570,87,3
836,8,2
743,27,2
532,79,1
195,96,4
73,90,0
345,95,4
684,18,3
648,32,3
641,73,3
731,19,2
449,42,1
415,19,1
217,36,4
231,85,4
607,24,3
41,62,0
410,79,1
281,100,4
323,3,4
522,94,1
471,82,1
271,30,4
126,83,0
104,95,0
845,14,2
678,90,3
781,39,2
290,3,4
136,10,0
47,92,0
468,93,1
710,45,3
779,79,2
796,39,2
230,43,4
645,19,3
168,83,0
390,9,1
293,94,4
484,6,1
239,48,4
667,82,3
653,2,3
724,52,2
333,59,4
270,99,4
857,63,2
667,14,3
680,67,3
452,46,1
375,50,1
608,48,3
862,73,2
463,93,1
700,23,3
524,58,1
595,40,3
271,47,4
747,42,2
358,58,1
280,24,4
392,41,1
293,78,4
800,70,2
129,26,0
215,82,4
689,60,3
217,53,4
408,49,1
56,24,0
470,83,1
315,49,4
285,3,4
292,63,4
852,89,2
898,20,2
640,61,3
32,2,0
5,55,0
422,59,1
645,85,3
154,30,0
815,76,2
116,75,0
340,71,4
361,100,1
795,3,2
244,39,4
820,62,2
659,69,3
679,39,3
355,83,4
121,97,0
429,60,1
364,34,1
507,70,1
280,94,4
83,32,0
645,9,3
491,55,1
789,98,2
270,46,4
472,43,1
142,92,0
619,85,3
607,96,3
115,34,0
148,73,0
702,98,3
710,74,3
307,60,4
98,48,0
492,82,1
842,84,2
860,26,2
664,11,3
653,68,3
510,24,1
717,32,3
352,7,4
675,41,3
310,67,4
560,32,3
240,15,4
92,87,0
570,34,3
739,68,2
793,96,2
145,45,0
659,66,3
771,75,2
62,33,0
468,27,1
377,84,1
211,7,4
242,70,4
380,1,1
567,47,3
743,85,2
626,30,3
827,79,2
708,11,3
768,96,2
896,12,2
874,37,2
677,73,3
652,60,3
888,46,2
166,45,0
769,97,2
503,68,1
872,23,2
225,24,4
140,6,0
183,92,4
393,26,1
152,55,0
270,82,4
31,3,0
585,84,3
15,27,0
446,35,1
364,98,1
827,39,2
666,47,3
825,7,2
874,63,2
381,37,1
832,92,2
264,76,4
404,16,1
621,11,3
664,77,3
367,97,1
816,36,2
301,93,4
793,42,2
876,73,2
564,37,3
365,71,1
690,99,3
792,92,2
247,29,4
841,9,2
402,77,1
744,45,2
141,27,0
225,63,4
714,26,3
472,91,1
168,56,0
54,80,0
451,66,1
462,52,1
477,63,1
432,58,1
854,91,2
393,13,1
91,26,0
385,72,1
606,11,3
837,43,2
692,4,3
187,50,4
68,63,0
634,100,3
507,47,1
281,79,4
145,68,0
607,52,3
555,68,3
769,53,2
439,21,1
308,65,4
824,67,2
239,83,4
707,97,3
110,94,0
286,80,4
721,58,2
808,51,2
822,97,2
783,38,2
899,31,2
136,22,0
351,61,4
356,76,1
225,28,4
439,18,1
94,66,0
891,14,2
298,14,4
372,32,1
578,53,3
345,48,4
134,79,0
320,25,4
720,38,2
646,33,3
724,54,2
646,64,3
96,86,0
698,23,3
578,43,3
613,72,3
67,63,0
511,48,1
572,15,3
199,23,4
223,93,4
462,98,1
851,76,2
557,96,3
245,45,4
757,49,2
234,74,4
677,58,3
364,5,1
603,97,3
172,36,0
58,40,0
180,1,4
667,52,3
358,58,1
272,80,4
348,3,4
273,58,4
437,3,1
268,81,4
186,83,4
114,18,0
345,59,4
776,11,2
407,95,1
643,32,3
299,83,4
190,75,4
259,45,4
188,41,4
888,95,2
224,92,4
433,59,1
749,51,2
123,76,0
243,82,4
819,33,2
375,2,1
48,62,0
99,66,0
40,72,0
710,57,3
194,33,4
373,32,1
842,95,2
42,9,0
325,17,4
439,4,1
318,12,4
248,18,4
329,81,4
746,48,2
553,34,3
121,65,0
181,34,4
399,14,1
783,3,2
543,75,3
458,86,1
638,40,3
748,16,2
707,32,3
796,96,2
272,43,4
340,37,4
504,31,1
119,4,0
832,21,2
349,46,4
582,71,3
440,81,1
14,93,0
128,53,0
568,72,3
252,64,4
652,70,3
335,81,4
745,85,2
153,20,0
672,68,3
885,68,2
537,74,3
428,15,1
676,45,3
740,96,2
844,57,2
900,74,2
817,69,2
269,50,4
240,10,4
574,35,3
775,52,2
141,83,0
434,54,1
495,49,1
362,4,1
519,97,1
406,10,1
818,40,2
146,17,0
580,72,3
892,9,2
524,50,1
106,50,0
681,35,3
721,55,2
509,18,1
713,75,3
759,27,2
824,43,2
31,30,0
73,10,0
278,43,4
216,4,4
669,60,3
419,6,1
23,60,0
783,93,2
169,23,0
283,99,4
875,80,2
250,1,4
260,63,4
803,59,2
828,25,2
419,38,1
499,79,1
825,56,2
57,42,0
675,5,3
641,24,3
46,8,0
123,39,0
256,88,4
816,54,2
835,69,2
504,47,1
306,80,4
64,75,0
855,72,2
15,36,0
681,25,3
414,92,1
270,98,4
508,34,1
757,68,2
678,1,3
235,52,4
112,21,0
230,19,4
732,56,2
573,4,3
847,74,2
530,34,1
221,49,4
187,63,4
422,40,1
167,30,0
430,88,1
774,65,2
742,9,2
750,75,2
193,38,4
564,80,3
554,38,3
30,78,0
823,89,2
39,77,0
590,51,3
720,56,2
523,47,1
99,100,0
802,71,2
729,77,2
777,85,2
780,73,2
648,28,3
73,54,0
616,73,3
744,97,2
174,61,0
580,14,3
466,98,1
568,38,3
721,52,2
410,52,1
405,11,1
883,60,2
223,91,4
551,70,3
858,96,2
582,86,3
862,25,2
369,27,1
229,68,4
838,97,2
542,29,3
485,57,1
574,47,3
518,82,1
813,37,2
780,90,2
232,49,4
548,52,3
893,70,2
283,23,4
256,14,4
519,75,1
445,99,1
702,75,3
740,79,2
418,26,1
577,20,3
47,24,0
110,89,0
659,36,3
394,57,1
621,35,3
685,90,3
96,29,0
23,86,0
886,67,2
827,71,2
142,65,0
93,1,0
859,50,2
598,39,3
153,42,0
557,46,3
458,36,1
402,8,1
407,65,1
202,69,4
844,6,2
689,91,3
587,19,3
204,40,4
804,22,2
465,27,1
321,28,4
401,28,1
704,60,3
518,60,1
319,94,4
398,71,1
599,56,3
97,40,0
228,69,4
473,79,1
320,62,4
193,15,4
84,37,0
811,93,2
58,86,0
447,2,1
540,7,3
132,27,0
865,87,2
173,64,0
727,37,2
787,50,2
699,82,3
769,20,2
154,84,0
344,100,4
295,52,4
685,33,3
475,81,1
429,65,1
805,61,2
178,14,4
885,21,2
167,23,0
728,41,2
261,51,4
459,8,1
414,87,1
303,59,4
87,96,0
142,34,0
358,13,1
508,31,1
611,70,3
329,32,4
409,33,1
639,88,3
92,76,0
781,67,2
47,96,0
169,72,0
154,2,0
415,17,1
144,99,0
206,35,4
660,34,3
227,6,4
304,46,4
601,67,3
145,49,0
224,66,4
171,23,0
796,12,2
857,71,2
608,67,3
694,54,3
386,80,1
624,41,3
483,90,1
426,57,1
118,56,0
15,100,0
883,44,2
551,63,3
566,100,3
878,39,2
508,97,1
313,25,4
28,17,0
320,65,4
613,24,3
470,82,1
73,91,0
790,100,2
241,100,4
672,31,3
552,45,3
566,45,3
116,84,0
526,82,1
436,86,1
193,25,4
375,75,1
310,31,4
411,28,1
6,1,0
891,45,2
415,9,1
715,75,3
873,27,2
303,94,4
497,91,1
5,44,0
504,62,1
373,23,1
643,44,3
292,50,4
760,60,2
385,28,1
359,91,1
446,44,1
725,20,2
202,74,4
755,95,2
503,39,1
439,58,1
757,90,2
245,65,4
13,20,0
465,97,1
196,90,4
492,59,1
587,48,3
338,68,4
596,2,3
431,87,1
492,15,1
486,39,1
840,74,2
283,86,4
91,78,0
815,19,2
842,39,2
21,10,0
767,3,2
1,30,0
111,71,0
658,44,3
705,44,3
796,30,2
601,24,3
356,34,1
190,52,4
662,9,3
281,47,4
17,39,0
431,21,1
113,4,0
727,23,2
857,28,2
154,36,0
879,7,2
190,32,4
526,96,1
238,44,4
429,40,1
256,97,4
843,39,2
143,12,0
623,37,3
285,2,4
762,48,2
